,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
22,BRSU_Floor0,30-06-2019 06:17:47,0.0,2,3,44.647,13.171,11.951,30-06-2019 06:18:34,30-06-2019 06:19:19,30-06-2019 06:19:19,30-06-2019 06:19:32,30-06-2019 06:19:32,30-06-2019 06:19:44
23,BRSU_Floor0,30-06-2019 06:17:47,0.0,3,3,43.5,19.378,18.378,30-06-2019 06:18:34,30-06-2019 06:19:18,30-06-2019 06:19:18,30-06-2019 06:19:37,30-06-2019 06:19:37,30-06-2019 06:19:55
24,BRSU_Floor0,30-06-2019 06:17:47,0.0,4,3,41.917,17.471,12.674,30-06-2019 06:18:34,30-06-2019 06:19:16,30-06-2019 06:19:16,30-06-2019 06:19:33,30-06-2019 06:19:33,30-06-2019 06:19:46
25,BRSU_Floor0,30-06-2019 06:17:47,0.0,5,3,28.447,8.251,18.171,30-06-2019 06:18:34,30-06-2019 06:19:02,30-06-2019 06:19:02,30-06-2019 06:19:10,30-06-2019 06:19:10,30-06-2019 06:19:28
26,BRSU_Floor0,30-06-2019 06:21:17,0.0,1,3,52.343,10.087,17.499,30-06-2019 06:22:04,30-06-2019 06:22:56,30-06-2019 06:22:56,30-06-2019 06:23:07,30-06-2019 06:23:07,30-06-2019 06:23:24
27,BRSU_Floor0,30-06-2019 06:21:17,0.0,2,3,48.966,13.194,14.752,30-06-2019 06:22:05,30-06-2019 06:22:54,30-06-2019 06:22:54,30-06-2019 06:23:07,30-06-2019 06:23:07,30-06-2019 06:23:22
28,BRSU_Floor0,30-06-2019 06:21:17,0.0,3,3,39.593,13.306,22.082,30-06-2019 06:22:05,30-06-2019 06:22:44,30-06-2019 06:22:44,30-06-2019 06:22:58,30-06-2019 06:22:58,30-06-2019 06:23:20
29,BRSU_Floor0,30-06-2019 06:21:17,0.0,4,3,31.608,13.243,11.514,30-06-2019 06:22:05,30-06-2019 06:22:36,30-06-2019 06:22:36,30-06-2019 06:22:49,30-06-2019 06:22:49,30-06-2019 06:23:01
30,BRSU_Floor0,30-06-2019 06:21:17,0.0,5,3,24.807,10.174,12.626,30-06-2019 06:22:04,30-06-2019 06:22:29,30-06-2019 06:22:29,30-06-2019 06:22:39,30-06-2019 06:22:39,30-06-2019 06:22:52
31,BRSU_Floor0,30-06-2019 06:24:48,0.0,1,3,57.8,10.24,13.056,30-06-2019 06:25:35,30-06-2019 06:26:32,30-06-2019 06:26:32,30-06-2019 06:26:43,30-06-2019 06:26:43,30-06-2019 06:26:56
32,BRSU_Floor0,30-06-2019 06:24:48,0.0,2,2,45.857,13.496,x,30-06-2019 06:25:35,30-06-2019 06:26:21,30-06-2019 06:26:21,30-06-2019 06:26:35,30-06-2019 06:26:35,x
33,BRSU_Floor0,30-06-2019 06:24:48,0.0,3,3,36.097,12.923,10.546,30-06-2019 06:25:35,30-06-2019 06:26:11,30-06-2019 06:26:11,30-06-2019 06:26:24,30-06-2019 06:26:24,30-06-2019 06:26:35
34,BRSU_Floor0,30-06-2019 06:24:48,0.0,4,3,31.158,21.733,11.45,30-06-2019 06:25:35,30-06-2019 06:26:06,30-06-2019 06:26:06,30-06-2019 06:26:28,30-06-2019 06:26:28,30-06-2019 06:26:39
35,BRSU_Floor0,30-06-2019 06:24:48,0.0,5,3,26.627,13.624,12.478,30-06-2019 06:25:35,30-06-2019 06:26:01,30-06-2019 06:26:01,30-06-2019 06:26:15,30-06-2019 06:26:15,30-06-2019 06:26:28
36,BRSU_Floor0,30-06-2019 06:28:18,0.0,1,3,55.474,10.047,13.354,30-06-2019 06:29:05,30-06-2019 06:30:00,30-06-2019 06:30:00,30-06-2019 06:30:10,30-06-2019 06:30:10,30-06-2019 06:30:24
37,BRSU_Floor0,30-06-2019 06:28:18,0.0,2,3,51.416,19.896,18.883,30-06-2019 06:29:06,30-06-2019 06:29:57,30-06-2019 06:29:57,30-06-2019 06:30:17,30-06-2019 06:30:17,30-06-2019 06:30:36
38,BRSU_Floor0,30-06-2019 06:28:18,0.0,3,3,34.737,13.157,19.778,30-06-2019 06:29:06,30-06-2019 06:29:40,30-06-2019 06:29:40,30-06-2019 06:29:54,30-06-2019 06:29:54,30-06-2019 06:30:13
39,BRSU_Floor0,30-06-2019 06:28:18,0.0,4,3,31.222,18.609,11.355,30-06-2019 06:29:05,30-06-2019 06:29:37,30-06-2019 06:29:37,30-06-2019 06:29:55,30-06-2019 06:29:55,30-06-2019 06:30:07
40,BRSU_Floor0,30-06-2019 06:28:18,0.0,5,3,14.336,9.556,25.861,30-06-2019 06:29:05,30-06-2019 06:29:19,30-06-2019 06:29:19,30-06-2019 06:29:29,30-06-2019 06:29:29,30-06-2019 06:29:55
41,BRSU_Floor0,30-06-2019 06:31:49,0.0,1,3,50.643,10.251,13.562,30-06-2019 06:32:35,30-06-2019 06:33:26,30-06-2019 06:33:26,30-06-2019 06:33:36,30-06-2019 06:33:36,30-06-2019 06:33:50
42,BRSU_Floor0,30-06-2019 06:31:49,0.0,2,3,46.276,13.026,11.759,30-06-2019 06:32:36,30-06-2019 06:33:23,30-06-2019 06:33:23,30-06-2019 06:33:36,30-06-2019 06:33:36,30-06-2019 06:33:47
43,BRSU_Floor0,30-06-2019 06:31:49,0.0,3,3,35.418,12.996,19.491,30-06-2019 06:32:36,30-06-2019 06:33:11,30-06-2019 06:33:11,30-06-2019 06:33:24,30-06-2019 06:33:24,30-06-2019 06:33:44
44,BRSU_Floor0,30-06-2019 06:31:49,0.0,4,3,29.998,11.999,11.323,30-06-2019 06:32:36,30-06-2019 06:33:06,30-06-2019 06:33:06,30-06-2019 06:33:18,30-06-2019 06:33:18,30-06-2019 06:33:29
45,BRSU_Floor0,30-06-2019 06:31:49,0.0,5,3,13.494,10.322,18.458,30-06-2019 06:32:36,30-06-2019 06:32:49,30-06-2019 06:32:49,30-06-2019 06:32:59,30-06-2019 06:32:59,30-06-2019 06:33:18
46,BRSU_Floor0,30-06-2019 06:35:19,0.0,1,3,47.276,10.663,13.366,30-06-2019 06:36:06,30-06-2019 06:36:54,30-06-2019 06:36:54,30-06-2019 06:37:04,30-06-2019 06:37:04,30-06-2019 06:37:18
47,BRSU_Floor0,30-06-2019 06:35:19,0.0,2,3,43.573,13.264,20.176,30-06-2019 06:36:07,30-06-2019 06:36:51,30-06-2019 06:36:51,30-06-2019 06:37:04,30-06-2019 06:37:04,30-06-2019 06:37:24
48,BRSU_Floor0,30-06-2019 06:35:19,0.0,3,3,42.325,16.708,20.477,30-06-2019 06:36:07,30-06-2019 06:36:49,30-06-2019 06:36:49,30-06-2019 06:37:06,30-06-2019 06:37:06,30-06-2019 06:37:27
49,BRSU_Floor0,30-06-2019 06:35:19,0.0,4,3,27.865,12.066,11.499,30-06-2019 06:36:07,30-06-2019 06:36:35,30-06-2019 06:36:35,30-06-2019 06:36:47,30-06-2019 06:36:47,30-06-2019 06:36:58
50,BRSU_Floor0,30-06-2019 06:35:19,0.0,5,3,22.959,8.785,22.735,30-06-2019 06:36:07,30-06-2019 06:36:30,30-06-2019 06:36:30,30-06-2019 06:36:38,30-06-2019 06:36:38,30-06-2019 06:37:01
51,BRSU_Floor0,30-06-2019 06:38:50,1.0,1,3,49.043,10.444,17.57,30-06-2019 06:39:37,30-06-2019 06:40:26,30-06-2019 06:40:26,30-06-2019 06:40:36,30-06-2019 06:40:36,30-06-2019 06:40:54
52,BRSU_Floor0,30-06-2019 06:38:50,1.0,2,3,45.073,13.271,15.1,30-06-2019 06:39:38,30-06-2019 06:40:23,30-06-2019 06:40:23,30-06-2019 06:40:36,30-06-2019 06:40:36,30-06-2019 06:40:51
53,BRSU_Floor0,30-06-2019 06:38:50,1.0,3,3,43.907,16.652,19.273,30-06-2019 06:39:38,30-06-2019 06:40:22,30-06-2019 06:40:22,30-06-2019 06:40:38,30-06-2019 06:40:38,30-06-2019 06:40:58
54,BRSU_Floor0,30-06-2019 06:38:50,1.0,4,3,29.391,12.246,11.609,30-06-2019 06:39:37,30-06-2019 06:40:07,30-06-2019 06:40:07,30-06-2019 06:40:19,30-06-2019 06:40:19,30-06-2019 06:40:31
55,BRSU_Floor0,30-06-2019 06:38:50,1.0,5,3,13.949,9.641,32.159,30-06-2019 06:39:37,30-06-2019 06:39:51,30-06-2019 06:39:51,30-06-2019 06:40:01,30-06-2019 06:40:01,30-06-2019 06:40:33
56,BRSU_Floor0,30-06-2019 06:42:21,0.0,1,3,49.596,10.24,13.453,30-06-2019 06:43:08,30-06-2019 06:43:57,30-06-2019 06:43:57,30-06-2019 06:44:07,30-06-2019 06:44:07,30-06-2019 06:44:21
57,BRSU_Floor0,30-06-2019 06:42:21,0.0,2,3,45.784,12.859,11.25,30-06-2019 06:43:09,30-06-2019 06:43:54,30-06-2019 06:43:54,30-06-2019 06:44:07,30-06-2019 06:44:07,30-06-2019 06:44:19
58,BRSU_Floor0,30-06-2019 06:42:21,0.0,3,3,35.363,14.388,11.642,30-06-2019 06:43:08,30-06-2019 06:43:44,30-06-2019 06:43:44,30-06-2019 06:43:58,30-06-2019 06:43:58,30-06-2019 06:44:10
59,BRSU_Floor0,30-06-2019 06:42:21,0.0,4,3,30.75,12.079,11.572,30-06-2019 06:43:08,30-06-2019 06:43:39,30-06-2019 06:43:39,30-06-2019 06:43:51,30-06-2019 06:43:51,30-06-2019 06:44:03
60,BRSU_Floor0,30-06-2019 06:42:21,0.0,5,3,13.495,10.248,24.978,30-06-2019 06:43:08,30-06-2019 06:43:21,30-06-2019 06:43:21,30-06-2019 06:43:32,30-06-2019 06:43:32,30-06-2019 06:43:57
61,BRSU_Floor0,30-06-2019 06:45:51,0.0,1,3,48.015,10.039,15.266,30-06-2019 06:46:38,30-06-2019 06:47:26,30-06-2019 06:47:26,30-06-2019 06:47:36,30-06-2019 06:47:36,30-06-2019 06:47:51
62,BRSU_Floor0,30-06-2019 06:45:51,0.0,2,3,35.959,13.083,20.622,30-06-2019 06:46:39,30-06-2019 06:47:15,30-06-2019 06:47:15,30-06-2019 06:47:28,30-06-2019 06:47:28,30-06-2019 06:47:49
